/Parameters/Arch/act, hardswish, x=0, y=0.25
/Parameters/Arch/act, hardswish, x=1, y=0.2502500116825104
/Parameters/Arch/act, hardswish, x=2, y=0.2513757050037384
/Parameters/Arch/act, relu, x=0, y=0.25
/Parameters/Arch/act, relu, x=1, y=0.24975000321865082
/Parameters/Arch/act, relu, x=2, y=0.24918124079704285
/Parameters/Arch/act, relu6, x=0, y=0.25
/Parameters/Arch/act, relu6, x=1, y=0.24975000321865082
/Parameters/Arch/act, relu6, x=2, y=0.2492324858903885
/Parameters/Arch/act, swish, x=0, y=0.25
/Parameters/Arch/act, swish, x=1, y=0.2502500116825104
/Parameters/Arch/act, swish, x=2, y=0.25021058320999146
/Parameters/Arch/adaptive_main, False, x=0, y=0.5
/Parameters/Arch/adaptive_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/adaptive_main, False, x=2, y=0.49858662486076355
/Parameters/Arch/adaptive_main, True, x=0, y=0.5
/Parameters/Arch/adaptive_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/adaptive_main, True, x=2, y=0.5014134049415588
/Parameters/Arch/att_lay, ca, x=0, y=0.2
/Parameters/Arch/att_lay, ca, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, ca, x=2, y=0.199247807264328
/Parameters/Arch/att_lay, fa, x=0, y=0.2
/Parameters/Arch/att_lay, fa, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, fa, x=2, y=0.20039469003677368
/Parameters/Arch/att_lay, ja, x=0, y=0.2
/Parameters/Arch/att_lay, ja, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ja, x=2, y=0.20147927105426788
/Parameters/Arch/att_lay, pa, x=0, y=0.2
/Parameters/Arch/att_lay, pa, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, pa, x=2, y=0.19947487115859985
/Parameters/Arch/att_lay, stja, x=0, y=0.2
/Parameters/Arch/att_lay, stja, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, stja, x=2, y=0.19940336048603058
/Parameters/Arch/blocks_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 1, x=1, y=0.33355551958084106
/Parameters/Arch/blocks_in, 1, x=2, y=0.33400723338127136
/Parameters/Arch/blocks_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 2, x=1, y=0.33355551958084106
/Parameters/Arch/blocks_in, 2, x=2, y=0.33422836661338806
