0,"[0, 2, 1, 4, 0, 1, 1, 2, 1, 0, 0, 3, 0, 0, 1, 3, 0, 0]","[1, 2, 3, 2, 1]","{'acc_top1': 0.02, 'acc_top5': 0.084}"
1,"[0, 3, 3, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0]","[2, 0, 2, 0, 2]","{'acc_top1': 0.774, 'acc_top5': 0.957}"
2,"[0, 3, 1, 5, 1, 1, 1, 2, 0, 0, 0, 5, 2, 2, 0, 2, 1, 0]","[0, 1, 1, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.084}"
3,"[1, 2, 0, 1, 2, 1, 1, 2, 0, 2, 1, 5, 3, 3, 1, 3, 1, 0]","[0, 1, 3, 0, 0]","{'acc_top1': 0.442, 'acc_top5': 0.827}"
4,"[2, 3, 3, 1, 2, 1, 0, 0, 1, 2, 1, 1, 1, 0, 2, 1, 1, 1]","[2, 1, 3, 0, 0]","{'acc_top1': 0.777, 'acc_top5': 0.957}"
5,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 5, 2, 3, 2, 2, 0, 1]","[1, 2, 0, 2, 1]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
6,"[1, 1, 2, 5, 0, 0, 0, 2, 2, 2, 1, 2, 1, 3, 2, 1, 0, 0]","[1, 1, 3, 1, 1]","{'acc_top1': 0.627, 'acc_top5': 0.917}"
7,"[0, 0, 4, 4, 3, 1, 1, 2, 0, 2, 2, 5, 0, 3, 1, 1, 1, 0]","[1, 1, 2, 2, 2]","{'acc_top1': 0.05, 'acc_top5': 0.189}"
8,"[3, 2, 3, 0, 2, 0, 1, 2, 0, 0, 2, 4, 1, 3, 1, 2, 1, 1]","[0, 1, 3, 2, 1]","{'acc_top1': 0.394, 'acc_top5': 0.77}"
9,"[1, 3, 3, 4, 3, 1, 1, 1, 1, 2, 1, 5, 0, 3, 0, 3, 1, 1]","[0, 2, 3, 2, 1]","{'acc_top1': 0.019, 'acc_top5': 0.074}"
