/Parameters/Arch/act, hardswish, x=0, y=0.25
/Parameters/Arch/act, hardswish, x=1, y=0.2502500116825104
/Parameters/Arch/act, hardswish, x=2, y=0.25118783116340637
/Parameters/Arch/act, relu, x=0, y=0.25
/Parameters/Arch/act, relu, x=1, y=0.24975000321865082
/Parameters/Arch/act, relu, x=2, y=0.25015905499458313
/Parameters/Arch/act, relu6, x=0, y=0.25
/Parameters/Arch/act, relu6, x=1, y=0.2502500116825104
/Parameters/Arch/act, relu6, x=2, y=0.24960801005363464
/Parameters/Arch/act, swish, x=0, y=0.25
/Parameters/Arch/act, swish, x=1, y=0.24975000321865082
/Parameters/Arch/act, swish, x=2, y=0.24904507398605347
/Parameters/Arch/adaptive_main, False, x=0, y=0.5
/Parameters/Arch/adaptive_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/adaptive_main, False, x=2, y=0.4984986484050751
/Parameters/Arch/adaptive_main, True, x=0, y=0.5
/Parameters/Arch/adaptive_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/adaptive_main, True, x=2, y=0.5015013813972473
/Parameters/Arch/att_lay, ca, x=0, y=0.2
/Parameters/Arch/att_lay, ca, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ca, x=2, y=0.19951121509075165
/Parameters/Arch/att_lay, fa, x=0, y=0.2
/Parameters/Arch/att_lay, fa, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, fa, x=2, y=0.20037060976028442
/Parameters/Arch/att_lay, ja, x=0, y=0.2
/Parameters/Arch/att_lay, ja, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ja, x=2, y=0.20082218945026398
/Parameters/Arch/att_lay, pa, x=0, y=0.2
/Parameters/Arch/att_lay, pa, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, pa, x=2, y=0.19891402125358582
/Parameters/Arch/att_lay, stja, x=0, y=0.2
/Parameters/Arch/att_lay, stja, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, stja, x=2, y=0.20038188993930817
/Parameters/Arch/blocks_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 1, x=1, y=0.33355551958084106
/Parameters/Arch/blocks_in, 1, x=2, y=0.3330753743648529
/Parameters/Arch/blocks_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 2, x=1, y=0.33355551958084106
/Parameters/Arch/blocks_in, 2, x=2, y=0.3345851004123688
/Parameters/Arch/blocks_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 3, x=1, y=0.33288905024528503
/Parameters/Arch/blocks_in, 3, x=2, y=0.3323395550251007
/Parameters/Arch/blocks_main, 3, x=0, y=0.25
/Parameters/Arch/blocks_main, 3, x=1, y=0.2503751814365387
/Parameters/Arch/blocks_main, 3, x=2, y=0.2513483762741089
/Parameters/Arch/blocks_main, 4, x=0, y=0.25
/Parameters/Arch/blocks_main, 4, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 4, x=2, y=0.24917560815811157
/Parameters/Arch/blocks_main, 5, x=0, y=0.25
/Parameters/Arch/blocks_main, 5, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 5, x=2, y=0.24898241460323334
/Parameters/Arch/blocks_main, 6, x=0, y=0.25
/Parameters/Arch/blocks_main, 6, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 6, x=2, y=0.2504936158657074
/Parameters/Arch/conv_lay, Basic, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Basic, x=1, y=0.1665000021457672
/Parameters/Arch/conv_lay, Basic, x=2, y=0.16571372747421265
/Parameters/Arch/conv_lay, Bottleneck, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Bottleneck, x=1, y=0.1665000021457672
/Parameters/Arch/conv_lay, Bottleneck, x=2, y=0.16575407981872559
/Parameters/Arch/conv_lay, SG, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, SG, x=1, y=0.16683334112167358
/Parameters/Arch/conv_lay, SG, x=2, y=0.16764669120311737
/Parameters/Arch/conv_lay, Sep, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Sep, x=1, y=0.16683334112167358
/Parameters/Arch/conv_lay, Sep, x=2, y=0.16751757264137268
/Parameters/Arch/conv_lay, Shuffle, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Shuffle, x=1, y=0.1665000021457672
/Parameters/Arch/conv_lay, Shuffle, x=2, y=0.16723810136318207
/Parameters/Arch/conv_lay, V3, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, V3, x=1, y=0.16683334112167358
/Parameters/Arch/conv_lay, V3, x=2, y=0.16612979769706726
/Parameters/Arch/depth_main, 1, x=0, y=0.25
/Parameters/Arch/depth_main, 1, x=1, y=0.2502500116825104
/Parameters/Arch/depth_main, 1, x=2, y=0.251098096370697
/Parameters/Arch/depth_main, 2, x=0, y=0.25
/Parameters/Arch/depth_main, 2, x=1, y=0.24975000321865082
/Parameters/Arch/depth_main, 2, x=2, y=0.24894332885742188
/Parameters/Arch/depth_main, 3, x=0, y=0.25
/Parameters/Arch/depth_main, 3, x=1, y=0.2502500116825104
/Parameters/Arch/depth_main, 3, x=2, y=0.25107455253601074
/Parameters/Arch/depth_main, 4, x=0, y=0.25
/Parameters/Arch/depth_main, 4, x=1, y=0.24975000321865082
/Parameters/Arch/depth_main, 4, x=2, y=0.24888399243354797
/Parameters/Arch/depth_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/depth_in, 1, x=1, y=0.33377793431282043
/Parameters/Arch/depth_in, 1, x=2, y=0.33484727144241333
/Parameters/Arch/depth_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/depth_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/depth_in, 2, x=2, y=0.33236396312713623
/Parameters/Arch/depth_in, 3, x=1, y=0.333111047744751
/Parameters/Arch/depth_in, 3, x=2, y=0.33278876543045044
/Parameters/Arch/drop_prob, 0.15, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.15, x=1, y=0.2502500116825104
/Parameters/Arch/drop_prob, 0.15, x=2, y=0.25139933824539185
/Parameters/Arch/drop_prob, 0.2, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.2, x=1, y=0.24975000321865082
/Parameters/Arch/drop_prob, 0.2, x=2, y=0.24916376173496246
/Parameters/Arch/drop_prob, 0.25, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.25, x=1, y=0.2502500116825104
/Parameters/Arch/drop_prob, 0.25, x=2, y=0.25014257431030273
/Parameters/Arch/drop_prob, 0.3, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.3, x=1, y=0.24975000321865082
/Parameters/Arch/drop_prob, 0.3, x=2, y=0.24929435551166534
/Parameters/Arch/graph_dist_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 2, x=1, y=0.33288905024528503
/Parameters/Arch/graph_dist_in, 2, x=2, y=0.33383920788764954
/Parameters/Arch/graph_dist_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 3, x=1, y=0.33355551958084106
/Parameters/Arch/graph_dist_in, 3, x=2, y=0.33311060070991516
/Parameters/Arch/graph_dist_in, 4, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 4, x=1, y=0.33355551958084106
/Parameters/Arch/graph_dist_in, 4, x=2, y=0.3330501616001129
/Parameters/Arch/graph_dist_main, 11, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 11, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_main, 11, x=2, y=0.33201146125793457
/Parameters/Arch/graph_dist_main, 7, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 7, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_main, 7, x=2, y=0.3334386646747589
/Parameters/Arch/graph_dist_main, 9, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 9, x=1, y=0.33377793431282043
/Parameters/Arch/graph_dist_main, 9, x=2, y=0.3345498740673065
/Parameters/Arch/init_lay, 128, x=0, y=0.25
/Parameters/Arch/init_lay, 128, x=1, y=0.2502500116825104
/Parameters/Arch/init_lay, 128, x=2, y=0.24957670271396637
/Parameters/Arch/init_lay, 156, x=0, y=0.25
/Parameters/Arch/init_lay, 156, x=1, y=0.2502500116825104
/Parameters/Arch/init_lay, 156, x=2, y=0.24960440397262573
/Parameters/Arch/init_lay, 195, x=0, y=0.25
/Parameters/Arch/init_lay, 195, x=1, y=0.24975000321865082
