0,"[0, 2, 1, 4, 0, 2, 1, 2, 1, 0, 0, 3, 0, 0, 1, 2, 0, 0]","[1, 2, 3, 2, 1]","{'acc_top1': 0.81, 'acc_top5': 0.975}"
1,"[0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 5, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0]","{'acc_top1': 0.916, 'acc_top5': 0.988}"
2,"[0, 0, 1, 5, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 0]","[0, 2, 3, 2, 2]","{'acc_top1': 0.859, 'acc_top5': 0.983}"
4,"[1, 2, 3, 4, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1]","[1, 1, 3, 1, 1]","{'acc_top1': 0.433, 'acc_top5': 0.772}"
5,"[1, 1, 4, 2, 1, 1, 0, 2, 2, 0, 0, 2, 3, 0, 1, 0, 1, 1]","[1, 2, 1, 1, 2]","{'acc_top1': 0.652, 'acc_top5': 0.946}"
6,"[1, 2, 1, 0, 3, 0, 0, 2, 2, 0, 0, 5, 0, 0, 1, 2, 1, 0]","[2, 0, 1, 0, 2]","{'acc_top1': 0.736, 'acc_top5': 0.95}"
7,"[0, 3, 3, 2, 3, 1, 0, 1, 1, 2, 1, 4, 0, 0, 1, 1, 1, 0]","[2, 2, 0, 0, 1]","{'acc_top1': 0.924, 'acc_top5': 0.991}"
9,"[2, 2, 1, 3, 0, 1, 0, 0, 1, 1, 2, 4, 0, 0, 2, 2, 1, 1]","[1, 2, 1, 2, 1]","{'acc_top1': 0.694, 'acc_top5': 0.948}"
10,"[0, 2, 3, 3, 3, 1, 0, 2, 1, 0, 2, 2, 2, 0, 1, 2, 0, 0]","[1, 2, 0, 1, 1]","{'acc_top1': 0.825, 'acc_top5': 0.978}"
11,"[1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 3, 0, 1, 2, 1, 0]","[2, 2, 0, 1, 0]","{'acc_top1': 0.901, 'acc_top5': 0.991}"
12,"[2, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 5, 0, 0, 1, 0, 0, 1]","[2, 1, 0, 1, 2]","{'acc_top1': 0.921, 'acc_top5': 0.99}"
13,"[3, 2, 2, 3, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[2, 1, 0, 0, 0]","{'acc_top1': 0.926, 'acc_top5': 0.992}"
14,"[2, 3, 0, 4, 2, 0, 1, 0, 1, 1, 2, 4, 0, 1, 0, 1, 1, 1]","[2, 1, 0, 2, 0]","{'acc_top1': 0.919, 'acc_top5': 0.988}"
15,"[2, 0, 4, 4, 0, 2, 0, 2, 1, 2, 1, 0, 2, 1, 2, 1, 0, 1]","[2, 0, 1, 2, 2]","{'acc_top1': 0.021, 'acc_top5': 0.11}"
16,"[1, 2, 2, 4, 2, 0, 0, 2, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 3, 1, 0]","{'acc_top1': 0.869, 'acc_top5': 0.984}"
18,"[3, 2, 0, 3, 3, 0, 0, 0, 2, 2, 1, 0, 2, 1, 1, 2, 1, 0]","[1, 1, 3, 1, 0]","{'acc_top1': 0.679, 'acc_top5': 0.926}"
19,"[2, 3, 2, 5, 3, 1, 0, 2, 0, 1, 0, 5, 0, 0, 2, 2, 1, 1]","[0, 1, 3, 0, 2]","{'acc_top1': 0.649, 'acc_top5': 0.918}"
21,"[1, 3, 4, 5, 2, 1, 1, 2, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0]","[1, 0, 2, 0, 0]","{'acc_top1': 0.827, 'acc_top5': 0.976}"
22,"[0, 1, 4, 2, 0, 2, 1, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0]","[0, 0, 2, 0, 1]","{'acc_top1': 0.78, 'acc_top5': 0.976}"
23,"[2, 0, 3, 0, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0]","[1, 1, 3, 0, 0]","{'acc_top1': 0.69, 'acc_top5': 0.95}"
24,"[1, 0, 4, 1, 1, 0, 0, 1, 1, 1, 0, 3, 3, 0, 0, 2, 0, 0]","[0, 1, 3, 2, 2]","{'acc_top1': 0.596, 'acc_top5': 0.919}"
25,"[2, 2, 4, 0, 3, 0, 1, 1, 0, 0, 2, 5, 1, 0, 1, 2, 1, 0]","[1, 0, 1, 1, 1]","{'acc_top1': 0.131, 'acc_top5': 0.384}"
26,"[3, 0, 0, 2, 0, 1, 1, 2, 1, 2, 0, 2, 3, 1, 1, 0, 0, 0]","[2, 1, 0, 2, 0]","{'acc_top1': 0.937, 'acc_top5': 0.993}"
27,"[1, 1, 4, 2, 0, 0, 0, 0, 1, 1, 1, 5, 0, 0, 2, 0, 1, 0]","[0, 0, 2, 2, 2]","{'acc_top1': 0.38, 'acc_top5': 0.796}"
28,"[0, 1, 2, 4, 0, 2, 1, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 1]","{'acc_top1': 0.02, 'acc_top5': 0.1}"
29,"[3, 1, 3, 3, 2, 2, 1, 2, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1]","[2, 2, 2, 1, 2]","{'acc_top1': 0.869, 'acc_top5': 0.986}"
1000,"[0, 1, 1, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 0]","{'acc_top1': 0.928, 'acc_top5': 0.991}"
30,"[3, 1, 2, 5, 0, 1, 0, 1, 2, 2, 2, 2, 2, 1, 0, 2, 1, 1]","[2, 1, 2, 0, 1]","{'acc_top1': 0.685, 'acc_top5': 0.951}"
31,"[1, 3, 3, 2, 2, 0, 1, 0, 0, 0, 2, 5, 3, 1, 0, 1, 0, 1]","[0, 0, 1, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
32,"[2, 2, 3, 0, 3, 0, 1, 2, 1, 0, 0, 0, 3, 0, 2, 0, 0, 0]","[0, 2, 2, 2, 0]","{'acc_top1': 0.789, 'acc_top5': 0.971}"
33,"[3, 2, 4, 5, 0, 2, 0, 1, 0, 0, 0, 5, 3, 0, 0, 0, 0, 1]","[1, 2, 2, 1, 0]","{'acc_top1': 0.828, 'acc_top5': 0.979}"
34,"[3, 2, 2, 5, 2, 2, 0, 1, 0, 0, 2, 2, 3, 0, 2, 0, 0, 1]","[2, 0, 1, 0, 0]","{'acc_top1': 0.702, 'acc_top5': 0.943}"
35,"[1, 2, 2, 3, 0, 2, 0, 0, 2, 0, 1, 4, 3, 0, 1, 1, 0, 0]","[2, 2, 0, 1, 0]","{'acc_top1': 0.894, 'acc_top5': 0.986}"
36,"[3, 0, 3, 0, 1, 1, 0, 1, 2, 1, 1, 5, 2, 0, 1, 2, 1, 1]","[1, 1, 0, 0, 0]","{'acc_top1': 0.913, 'acc_top5': 0.991}"
37,"[1, 1, 3, 4, 1, 1, 1, 1, 1, 0, 0, 5, 0, 1, 2, 1, 1, 1]","[0, 1, 3, 0, 1]","{'acc_top1': 0.033, 'acc_top5': 0.164}"
38,"[3, 1, 1, 3, 0, 1, 0, 2, 0, 2, 1, 3, 2, 1, 2, 1, 0, 1]","[1, 2, 1, 1, 0]","{'acc_top1': 0.56, 'acc_top5': 0.859}"
39,"[2, 3, 0, 5, 3, 2, 0, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 2, 1, 0, 0]","{'acc_top1': 0.618, 'acc_top5': 0.905}"
41,"[3, 0, 3, 4, 2, 1, 1, 2, 1, 0, 2, 5, 2, 0, 0, 1, 0, 1]","[0, 1, 2, 1, 2]","{'acc_top1': 0.166, 'acc_top5': 0.548}"
42,"[1, 1, 0, 4, 0, 2, 1, 0, 1, 1, 1, 3, 1, 1, 0, 2, 0, 0]","[0, 2, 2, 1, 0]","{'acc_top1': 0.031, 'acc_top5': 0.182}"
44,"[2, 1, 0, 4, 2, 0, 1, 0, 2, 1, 2, 2, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
45,"[0, 3, 2, 2, 3, 2, 0, 1, 1, 1, 0, 3, 3, 0, 1, 2, 0, 0]","[1, 1, 1, 2, 2]","{'acc_top1': 0.017, 'acc_top5': 0.084}"
46,"[3, 0, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 1]","[2, 2, 0, 2, 1]","{'acc_top1': 0.892, 'acc_top5': 0.988}"
47,"[2, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1]","[1, 2, 2, 1, 1]","{'acc_top1': 0.836, 'acc_top5': 0.98}"
48,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 4, 3, 0, 1, 2, 0, 0]","[2, 1, 1, 0, 1]","{'acc_top1': 0.02, 'acc_top5': 0.098}"
