/Parameters/Arch/act, hardswish, x=0, y=0.25
/Parameters/Arch/act, hardswish, x=1, y=0.2503751814365387
/Parameters/Arch/act, relu, x=0, y=0.25
/Parameters/Arch/act, relu, x=1, y=0.24987493455410004
/Parameters/Arch/act, relu6, x=0, y=0.25
/Parameters/Arch/act, relu6, x=1, y=0.24987493455410004
/Parameters/Arch/act, swish, x=0, y=0.25
/Parameters/Arch/act, swish, x=1, y=0.24987493455410004
/Parameters/Arch/adaptive_main, False, x=0, y=0.5
/Parameters/Arch/adaptive_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/adaptive_main, True, x=0, y=0.5
/Parameters/Arch/adaptive_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/att_lay, ca, x=0, y=0.2
/Parameters/Arch/att_lay, ca, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, fa, x=0, y=0.2
/Parameters/Arch/att_lay, fa, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ja, x=0, y=0.2
/Parameters/Arch/att_lay, ja, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, pa, x=0, y=0.2
/Parameters/Arch/att_lay, pa, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, stja, x=0, y=0.2
/Parameters/Arch/att_lay, stja, x=1, y=0.19983996450901031
/Parameters/Arch/blocks_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 1, x=1, y=0.333111047744751
/Parameters/Arch/blocks_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 2, x=1, y=0.33377793431282043
/Parameters/Arch/blocks_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 3, x=1, y=0.333111047744751
/Parameters/Arch/blocks_main, 3, x=2, y=0.2502500116825104
/Parameters/Arch/blocks_main, 4, x=0, y=0.25
/Parameters/Arch/blocks_main, 4, x=1, y=0.24975000321865082
/Parameters/Arch/blocks_main, 5, x=0, y=0.25
/Parameters/Arch/blocks_main, 5, x=1, y=0.24975000321865082
/Parameters/Arch/blocks_main, 6, x=0, y=0.25
/Parameters/Arch/blocks_main, 6, x=1, y=0.2502500116825104
/Parameters/Arch/conv_lay, Basic, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Basic, x=1, y=0.1665555238723755
/Parameters/Arch/conv_lay, Bottleneck, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Bottleneck, x=1, y=0.1665555238723755
/Parameters/Arch/conv_lay, SG, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, SG, x=1, y=0.1665555238723755
/Parameters/Arch/conv_lay, Sep, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Sep, x=1, y=0.1665555238723755
/Parameters/Arch/conv_lay, Shuffle, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Shuffle, x=1, y=0.16688896715641022
/Parameters/Arch/conv_lay, V3, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, V3, x=1, y=0.16688896715641022
/Parameters/Arch/depth_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/depth_in, 1, x=1, y=0.33377793431282043
/Parameters/Arch/depth_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/depth_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/depth_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/depth_in, 3, x=1, y=0.333111047744751
/Parameters/Arch/depth_main, 1, x=0, y=0.25
/Parameters/Arch/depth_main, 1, x=1, y=0.2503751814365387
/Parameters/Arch/depth_main, 2, x=0, y=0.25
/Parameters/Arch/depth_main, 2, x=1, y=0.24987493455410004
/Parameters/Arch/depth_main, 3, x=0, y=0.25
/Parameters/Arch/depth_main, 3, x=1, y=0.24987493455410004
/Parameters/Arch/depth_main, 4, x=0, y=0.25
/Parameters/Arch/depth_main, 4, x=1, y=0.24987493455410004
/Parameters/Arch/drop_prob, 0.15, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.15, x=1, y=0.2502500116825104
/Parameters/Arch/drop_prob, 0.2, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.2, x=1, y=0.24975000321865082
/Parameters/Arch/drop_prob, 0.25, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.25, x=1, y=0.24975000321865082
/Parameters/Arch/drop_prob, 0.3, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.3, x=1, y=0.2502500116825104
/Parameters/Arch/graph_dist_in, 2, x=0, y=0.3333333333333333
