0,"[3, 2, 4, 3, 3, 1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 3, 0, 1]","[2, 1, 3, 0, 0]","{'acc_top1': 0.79, 'acc_top5': 0.971}"
1,"[2, 1, 4, 5, 0, 0, 1, 1, 2, 1, 0, 4, 1, 2, 0, 1, 0, 1]","[1, 1, 2, 2, 0]","{'acc_top1': 0.217, 'acc_top5': 0.609}"
2,"[3, 0, 0, 1, 2, 1, 1, 2, 1, 1, 0, 3, 3, 2, 2, 0, 1, 1]","[0, 2, 0, 0, 2]","{'acc_top1': 0.766, 'acc_top5': 0.954}"
3,"[1, 0, 2, 0, 0, 1, 0, 1, 2, 2, 0, 3, 1, 3, 2, 1, 1, 0]","[0, 1, 3, 1, 0]","{'acc_top1': 0.047, 'acc_top5': 0.152}"
4,"[1, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 0, 0, 3, 2, 2, 1, 0]","[2, 2, 1, 2, 2]","{'acc_top1': 0.017, 'acc_top5': 0.08}"
5,"[0, 0, 1, 2, 3, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 1]","[1, 2, 0, 0, 0]","{'acc_top1': 0.765, 'acc_top5': 0.947}"
6,"[2, 2, 1, 2, 0, 1, 1, 0, 1, 1, 2, 0, 3, 0, 0, 1, 0, 1]","[0, 1, 3, 1, 1]","{'acc_top1': 0.603, 'acc_top5': 0.904}"
7,"[1, 0, 2, 5, 1, 0, 0, 1, 2, 0, 0, 0, 0, 3, 2, 0, 1, 1]","[0, 1, 2, 2, 2]","{'acc_top1': 0.289, 'acc_top5': 0.688}"
8,"[0, 3, 0, 4, 2, 1, 0, 1, 0, 2, 2, 5, 1, 0, 1, 0, 1, 0]","[1, 2, 0, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.089}"
9,"[1, 3, 0, 2, 3, 0, 0, 1, 1, 2, 0, 0, 3, 2, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","{'acc_top1': 0.048, 'acc_top5': 0.15}"
10,"[1, 0, 4, 3, 2, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0]","[2, 0, 1, 0, 0]","{'acc_top1': 0.467, 'acc_top5': 0.85}"
11,"[2, 2, 4, 4, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 2, 1, 0]","[2, 1, 2, 2, 0]","{'acc_top1': 0.086, 'acc_top5': 0.252}"
12,"[0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 4, 3, 0, 1, 1, 1, 0]","[0, 2, 3, 1, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
14,"[1, 0, 0, 0, 3, 1, 1, 0, 1, 0, 0, 0, 3, 0, 2, 1, 0, 1]","[0, 0, 2, 0, 1]","{'acc_top1': 0.709, 'acc_top5': 0.935}"
15,"[1, 0, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 0, 3, 2, 2, 0, 1]","[0, 2, 0, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.084}"
16,"[0, 2, 4, 3, 0, 1, 0, 2, 2, 0, 0, 3, 0, 1, 0, 0, 1, 1]","[0, 2, 0, 0, 0]","{'acc_top1': 0.026, 'acc_top5': 0.106}"
17,"[0, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 5, 2, 2, 0, 2, 0, 1]","[1, 1, 2, 0, 0]","{'acc_top1': 0.377, 'acc_top5': 0.784}"
18,"[1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 2, 0, 0, 2, 2, 0, 1, 0]","[0, 1, 2, 0, 2]","{'acc_top1': 0.152, 'acc_top5': 0.451}"
19,"[3, 2, 4, 0, 2, 1, 0, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 0]","[1, 2, 1, 1, 0]","{'acc_top1': 0.017, 'acc_top5': 0.086}"
1000,"[3, 2, 4, 3, 3, 1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 3, 0, 1]","[2, 1, 3, 0, 0]","{'acc_top1': 0.868, 'acc_top5': 0.979}"
