0,"[3, 2, 4, 3, 3, 1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 3, 0, 1]","[2, 1, 3, 0, 0]","{'acc_top1': 0.833, 'acc_top5': 0.98}"
1,"[2, 3, 1, 3, 3, 0, 0, 0, 2, 0, 1, 2, 1, 2, 2, 3, 0, 1]","[0, 1, 2, 0, 1]","{'acc_top1': 0.267, 'acc_top5': 0.612}"
2,"[1, 3, 4, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0]","[1, 0, 2, 1, 0]","{'acc_top1': 0.725, 'acc_top5': 0.954}"
3,"[1, 0, 2, 3, 2, 0, 1, 2, 1, 0, 2, 4, 3, 2, 2, 2, 0, 0]","[2, 0, 2, 1, 1]","{'acc_top1': 0.869, 'acc_top5': 0.985}"
4,"[2, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 3, 2, 0, 2, 0, 1, 1]","[2, 2, 2, 0, 1]","{'acc_top1': 0.178, 'acc_top5': 0.456}"
5,"[0, 2, 0, 3, 1, 1, 0, 1, 1, 2, 1, 3, 3, 3, 2, 3, 1, 1]","[2, 2, 2, 0, 0]","{'acc_top1': 0.306, 'acc_top5': 0.748}"
6,"[2, 1, 4, 1, 0, 1, 1, 2, 2, 2, 2, 2, 1, 3, 1, 1, 1, 1]","[1, 1, 0, 2, 0]","{'acc_top1': 0.886, 'acc_top5': 0.988}"
7,"[1, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0]","[2, 2, 0, 0, 2]","{'acc_top1': 0.804, 'acc_top5': 0.977}"
8,"[0, 1, 0, 5, 0, 0, 1, 2, 0, 1, 1, 4, 1, 0, 1, 3, 1, 1]","[2, 1, 3, 2, 1]","{'acc_top1': 0.873, 'acc_top5': 0.986}"
9,"[1, 1, 1, 4, 2, 1, 1, 2, 2, 1, 0, 3, 1, 0, 2, 1, 0, 1]","[1, 1, 0, 0, 1]","{'acc_top1': 0.81, 'acc_top5': 0.97}"
10,"[2, 3, 2, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0, 2, 2, 3, 1, 1]","[0, 2, 3, 2, 0]","{'acc_top1': 0.018, 'acc_top5': 0.093}"
11,"[1, 2, 2, 4, 2, 0, 1, 2, 2, 2, 1, 3, 2, 1, 1, 2, 0, 1]","[0, 0, 2, 0, 1]","{'acc_top1': 0.823, 'acc_top5': 0.975}"
12,"[3, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 2, 3, 3, 1, 3, 1, 0]","[0, 0, 0, 1, 1]","{'acc_top1': 0.924, 'acc_top5': 0.991}"
13,"[3, 0, 3, 3, 1, 1, 0, 0, 2, 2, 2, 3, 1, 0, 0, 0, 1, 1]","[1, 2, 0, 2, 0]","{'acc_top1': 0.03, 'acc_top5': 0.094}"
14,"[3, 3, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 3, 0, 0, 0, 0]","[0, 2, 0, 0, 1]","{'acc_top1': 0.808, 'acc_top5': 0.974}"
15,"[0, 2, 1, 1, 2, 1, 0, 2, 0, 1, 2, 1, 3, 1, 0, 2, 0, 0]","[0, 0, 0, 2, 0]","{'acc_top1': 0.425, 'acc_top5': 0.814}"
16,"[1, 1, 0, 5, 1, 0, 1, 1, 2, 0, 2, 2, 3, 0, 2, 0, 0, 0]","[2, 1, 1, 0, 0]","{'acc_top1': 0.196, 'acc_top5': 0.582}"
17,"[2, 3, 1, 1, 2, 1, 1, 2, 2, 1, 0, 1, 3, 2, 2, 0, 1, 0]","[2, 0, 3, 0, 0]","{'acc_top1': 0.915, 'acc_top5': 0.988}"
18,"[0, 3, 2, 3, 3, 1, 1, 2, 1, 2, 1, 3, 2, 2, 2, 0, 1, 0]","[2, 0, 3, 1, 1]","{'acc_top1': 0.916, 'acc_top5': 0.991}"
19,"[0, 2, 2, 3, 1, 1, 1, 0, 1, 0, 1, 5, 1, 1, 1, 1, 1, 0]","[0, 2, 1, 0, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
1000,"[3, 2, 3, 2, 1, 1, 0, 0, 1, 1, 1, 2, 3, 3, 1, 3, 1, 0]","[0, 0, 0, 1, 1]","{'acc_top1': 0.929, 'acc_top5': 0.99}"
